Database,Title
ACM,Shadow of a doubt: testing for divergences between software versions
ACM,On the interplay between non-functional requirements and builds on continuous integration
ACM,Toward understanding compiler bugs in GCC and LLVM
ACM,Scalable and Fault Tolerant Failure Detection and Consensus
ACM,Designing Representations for Digital Documents
ACM,Bisecting commits and modeling commit risk during testing
ACM,A message driven OR-parallel machine
ACM,Separ: Towards Regulating Future of Work Multi-Platform Crowdworking Environments with Privacy Guarantees
ACM,CBCD: cloned buggy code detector
ACM,Using Others' Tests to Identify Breaking Updates
ACM,1Pipe: scalable total order communication in data center networks
ACM,Semantic crash bucketing
ACM,Revisiting prior empirical findings for mobile apps: an empirical case study on the 15 most popular open-source Android apps
ACM,Context-based synchronization: an approach beyond semantics for concurrency control
ACM,A dataset of parametric cryptographic misuses
ACM,Transactional auto scaler: elastic scaling of in-memory transactional data grids
ACM,Cost and availability tradeoffs in replicated data concurrency control
ACM,Building test suites in social coding sites by leveraging drive-by commits
ACM,Maintaining feature traceability with embedded annotations
ACM,The uniqueness of changes: characteristics and applications
ACM,A Secure Hash Commitment Approach for Moving Target Defense of Security-critical Services
ACM,Don't trust the cloud verify: integrity and consistency for cloud object stores
ACM,BugSwarm: mining and continuously growing a dataset of reproducible failures and fixes
ACM,"Is there a ""golden"" feature set for static warning identification?: an experimental evaluation"
ACM,Commits as a basis for API misuse detection
ACM,Retrieval-based neural source code summarization
ACM,A hierarchical structure for concurrency control in a distributed database system
ACM,Unveiling multiple facets of design degradation in modern code review
ACM,Supporting Developers' Coordination in the IDE
ACM,CodePilot: Scaffolding End-to-End Collaborative Software Development for Novice Programmers
ACM,Management of a remote backup copy for disaster recovery
ACM,New notions of security: achieving universal composability without trusted setup
ACM,Distributed process groups in the V Kernel
ACM,OrpheusDB: bolt-on versioning for relational databases
ACM,Spanner: Google's globally-distributed database
ACM,MARBLE: mining for boilerplate code to identify API usability problems
ACM,FaRM: fast remote memory
ACM,Recovering system specific rules from software repositories
ACM,An Algorithm for Replicated Objects with Efficient Reads
ACM,A deep multitask learning approach for requirements discovery and annotation from open forum
ACM,Covrig: a framework for the analysis of code test and coverage evolution in real software
ACM,SoftMon: A Tool to Compare Similar Open-source Software from a Performance Perspective
ACM,Flash: efficient dynamic routing for offchain networks
ACM,An architectural blueprint for a pluggable version control system for software (evolution) analysis
ACM,Semantic bug seeding: a learning-based approach for creating realistic bugs
ACM,Undefined behavior: what happened to my code?
ACM,An evaluation of a client-server real-time database system
ACM,RTChain: A Reputation system with Transaction and Consensus Incentives for E-commerce Blockchain
ACM,The TickerTAIP parallel RAID architecture
ACM,Transparent speculation in geo-replicated transactional data stores
ACM,Spanner: Google?_?s Globally Distributed database
ACM,Machine fault tolerance for reliable datacenter systems
ACM,Deconstructing RDMA-enabled distributed transactions: hybrid is better
ACM,OffSide: Learning to Identify Mistakes in Boundary Conditions
ACM,Documentation practices in scientific software development
ACM,Improved Automatic Summarization of Subroutines via Attention to File Context
ACM,obTIOS: a CAx-framework service for building concurrent engineering environments
ACM,A graphical interface for analysis of communication protocols
ACM,COMA: an opportunity for building fault-tolerant scalable shared memory multiprocessors
ACM,On the Impact of Programming Languages on Code Quality: A Reproduction Study
ACM,One Primitive to Diagnose Them All: Architectural Support for Internet Diagnostics
ACM,Identifying features in forks
ACM,Towards Versioning of Arbitrary RDF Data
ACM,A syntax-guided edit decoder for neural program repair
ACM,Code Review is just reviewing code? A qualitative study with practitioners in industry
ACM,Building white-box abstractions by program refinement
ACM,Defect prediction using social network analysis on issue repositories
ACM,Automated parameter estimation process for clustering algorithms used in software maintenance
ACM,A Human Study of Comprehension and Code Summarization
ACM,Taming the Wild Etext: Managing Annotating and Sharing Tibetan Corpora in Open Spaces
ACM,Trace aware random testing for distributed systems
ACM,Shadow Symbolic Execution for Testing Software Patches
ACM,Supporting amnesia in log-based recovery protocols
ACM,LH*RS---a highly-available scalable distributed data structure
ACM,Characterizing the natural language descriptions in software logging statements
ACM,Transactional Auto Scaler: Elastic Scaling of Replicated In-Memory Transactional Data Grids
ACM,Evaluating a query framework for software evolution data
ACM,Large-scale analysis of framework-specific exceptions in Android apps
