Database,Title
Scopus,Trader: Trace divergence analysis and embedding regulation for debugging recurrent neural networks
Scopus,On the naturalness of hardware descriptions
Scopus,CORE: Automating Review Recommendation for Code Changes
Scopus,Summarization techniques for code change testing and user feedback
Scopus,Prediction of relatedness in stack overflow: Deep learning vs. SVM: A reproducibility study
Scopus,Natural language processing in mining unstructured data from software repositories: a review
Scopus,Characterizing the natural language descriptions in software logging statements
Scopus,SATDBailiff-mining and tracking self-admitted technical debt
Scopus,An empirical Study of Abbreviations and Expansions in Software Artifacts
Scopus,On preserving the behavior in software refactoring: A systematic mapping study
Scopus,Self-reported activities of Android developers
Scopus,Impact analysis of change requests on source code based on interaction and commit histories
Scopus,Shallow or Deep? An empirical Study on Detecting Vulnerabilities using Deep Learning
Scopus,How Developers Document Pull Requests with External References
Scopus,Why do they ask? An exploratory study of crowd discussions about Android application programming interface in stack overflow Overflow?
Scopus,Comparing developer-provided to user-provided tests for fault localization and automated program repair
Scopus,Revisiting the VCCFinder approach for the identification of vulnerability-contributing commits
Scopus,Devign: Effective vulnerability identification by learning comprehensive program semantics via graph neural networks
Scopus,A hosting service of multi-language historage repositories
Scopus,Mining unstructured data in software repositories: Current & future trends
Scopus,FRLink: Improving the recovery of missing issue-commit links by revisiting file relevance
Scopus,AUTOTRAINER: An automatic DNN training problem detection and repair system
Scopus,On the generation structure and semantics of grammar patterns in source code identifiers
Scopus,Bot or not?: Detecting bots in GitHub pull request activity based on comment similarity
Scopus,Summarizing vulnerabilities?_? descriptions to support experts during vulnerability assessment activities
Scopus,Mining Fix Patterns for FindBugs Violations
Scopus,An empirical study on the usage of BERT models for code completion
Scopus,Which Commits Can Be CI Skipped?
Scopus,How to build a vulnerability benchmark to overcome cyber security attacks
Scopus,Traceability in the wild: Automatically augmenting incomplete trace links
Scopus,On using Stack Overflow comment-edit pairs to recommend code maintenance changes
Scopus,Machine learning based recommendation of method names: How far are we
Scopus,Confusion in Code Reviews: Reasons Impacts and Coping Strategies
Scopus,PatchDB: A Large-Scale Security Patch Dataset
Scopus,Interaction-based creation and maintenance of continuously usable trace links between requirements and source code
Scopus,A survey of machine learning for big code and naturalness
Scopus,Mining the software engineering forums: What?_?s new and what?_?s left
Scopus,Information needs in contemporary code review
Scopus,Identifying change patterns of API misuses from code changes
Scopus,Unakite: Scaffolding developers' decision-making using the web
Scopus,Natural Software Revisited
Scopus,Software practitioner perspectives on merge conflicts and resolutions
Scopus,Rapid analysis of disease state in liquid human serum combining infrared spectroscopy and ?_?digital drying?_?
Scopus,Learning Latest Private-Cluster-State to Improve the Performance of Sample-Based Cluster Scheduling
Scopus,DeepLV: Suggesting log levels using ordinal based neural networks
Scopus,Version Control Systems: An Information Foraging Perspective
Scopus,Team Discussions and Dynamics during DevOps Tool Adoptions in OSS Projects
Scopus,Self-admitted technical debt practices: a comparison between industry and open-source
Scopus,Crowdsourcing user reviews to support the evolution of mobile apps
Scopus,Survey of Intelligent Code Completion
Scopus,An empirical study of quick remedy commits
Scopus,A Novel Neural Source Code Representation Based on Abstract Syntax Tree
Scopus,DeepWukong: Statically Detecting Software Vulnerabilities Using Deep Graph Neural Network
Scopus,Experience report: investigating bug fixes in machine learning frameworks/libraries
Scopus,Data-driven approach to application programming interface documentation mining: A review
Scopus,Prioritizing refactorings for security-critical code
Scopus,Learning to Spot and Refactor Inconsistent Method Names
Scopus,Mining energy-aware commits
Scopus,Effectiveness of exploring historical commits for developer recommendation: an empirical study
Scopus,How to Better Distinguish Security Bug Reports (Using Dual Hyperparameter Optimization)
Scopus,The life-cycle of merge conflicts: processes barriers and strategies
Scopus,Studying the difference between natural and programming language corpora
Scopus,Fine-grained just-in-time defect prediction
Scopus,A ground-truth dataset and classification model for detecting bots in GitHub issue and PR comments
Scopus,Blinder - Scalable Robust Anonymous Committed Broadcast
Scopus,DeepJIT: An end-to-end deep learning framework for just-in-time defect prediction
Scopus,Standing on shoulders or feet? The usage of the MSR data papers
Scopus,Software evolution: the lifetime of fine-grained elements
Scopus,On the naming of methods: A survey of professional developers
Scopus,Defect Comprehension Research: Present Problem and Prospect
Scopus,Security Bug Report Usage for Software Vulnerability Research: A Systematic Mapping Study
Scopus,How Far Have We Progressed in Identifying Self-admitted Technical Debts? A Comprehensive empirical Study
Scopus,Standing on shoulders or feet? An extended study on the usage of the MSR data papers
Scopus,Attacks and defences on intelligent connected vehicles: a survey
